city,state,zip,county,population
Clearwater,FL,33764,Pinellas,109703
Waterbury,CT,06701,Naugatuck Valley,109676
Gresham,OR,97080,Multnomah,109397
Fairfield,CA,94533,Solano,109320
Billings,MT,59103,Yellowstone,109059
Lowell,MA,01853,Middlesex,108861
Pueblo,CO,81002,Pueblo,108249
High Point,NC,27265,Guilford,107741
West Covina,CA,91791,Los Angeles,107740
Richmond,CA,94802,Contra Costa,107571
Murrieta,CA,92564,Riverside,107479
Cambridge,MA,02238,Middlesex,107289
Antioch,CA,94509,Contra Costa,107100
Temecula,CA,92589,Riverside,106780
Norwalk,CA,90651,Los Angeles,106589
Everett,WA,98203,Snohomish,105370
Wichita Falls,TX,76301,Wichita,104898
Palm Bay,FL,32905,Brevard,104898
Green Bay,WI,54304,Brown,104779
Daly City,CA,94016,San Mateo,104739
Burbank,CA,91503,Los Angeles,104709
Richardson,TX,75081,Dallas,104475
Pompano Beach,FL,33066,Broward,104410
North Charleston,SC,29418,Charleston,104054
Broken Arrow,OK,74013,Tulsa,103500
Boulder,CO,80304,Boulder,103166
West Palm Beach,FL,33409,Palm Beach,102436
Santa Maria,CA,93456,Santa Barbara,102216
El Cajon,CA,92022,San Diego,102211
Davenport,IA,52806,Scott,102157
Rialto,CA,92376,San Bernardino,101910
Las Cruces,NM,88004,Doña Ana,101324
San Mateo,CA,94403,San Mateo,101128
Lewisville,TX,75057,Denton,101074
South Bend,IN,46601,St. Joseph,100886
Lakeland,FL,33804,Polk,100710
Erie,PA,16503,Erie,100671
Tyler,TX,75711,Smith,100223
Pearland,TX,77581,Brazoria,100065
College Station,TX,77840,Brazos,100050
Kenosha,WI,53141,Kenosha,99889
Clovis,CA,93611,Fresno,99769
Flint,MI,48555,Genesee,99763
Roanoke,VA,24001,Roanoke (city),98465
Albany,NY,12210,Albany,98424
Compton,CA,90220,Los Angeles,97877
San Angelo,TX,76902,Tom Green,97492
Hillsboro,OR,97124,Washington,97368
Lawton,OK,73502,Comanche,97151
Renton,WA,98056,King,97003
Vista,CA,92085,San Diego,96929
Greeley,CO,80639,Weld,96539
Mission Viejo,CA,92692,Orange,96346
Portsmouth,VA,23707,Portsmouth (city),96205
Dearborn,MI,48120,Wayne,95884
South Gate,CA,90280,Los Angeles,95677
Tuscaloosa,AL,35403,Tuscaloosa,95334
Livonia,MI,48151,Wayne,95208
New Bedford,MA,02741,Bristol,95078
Vacaville,CA,95688,Solano,94275
Brockton,MA,02303,Plymouth,94089
Roswell,GA,30077,Fulton,94034
Beaverton,OR,97075,Washington,93542
Quincy,MA,02170,Norfolk,93494
Sparks,NV,89434,Washoe,93282
Yakima,WA,98907,Yakima,93257
Lee's Summit,MO,64002,Jackson,93184
Federal Way,WA,98003,King,92734
Carson,CA,90745,Los Angeles,92599
Santa Monica,CA,90406,Los Angeles,92472
Hesperia,CA,92345,San Bernardino,92147
Allen,TX,75002,Collin,92020
Rio Rancho,NM,87124,Sandoval,91956
Yuma,AZ,85365,Yuma,91923
Westminster,CA,92685,Orange,91739
Orem,UT,84097,Utah,91648
Lynn,MA,01903,Essex,91589
Redding,CA,96003,Shasta,91119
Miami Beach,FL,33154,Miami-Dade,91026
League City,TX,77574,Galveston,90983
Lawrence,KS,66045,Douglas,90811
Santa Barbara,CA,93105,Santa Barbara,90412
Plantation,FL,33388,Broward,90268
Sandy,UT,84093,Salt Lake,90231
Macon,GA,31207,Bibb,89981
Longmont,CO,80502,Boulder,89919
Boca Raton,FL,33427,Palm Beach,89407
San Marcos,CA,92069,San Diego,89387
Greenville,NC,27833,Pitt,89130
Waukegan,IL,60079,Lake,88826
Fall River,MA,02722,Bristol,88697
Chico,CA,95926,Butte,88077
Newton,MA,02458,Middlesex,87971
San Leandro,CA,94579,Alameda,87965
Reading,PA,19601,Berks,87893
Norwalk,CT,06851,Western Connecticut,87776
Fort Smith,AR,72901,Sebastian,87650
Newport Beach,CA,92662,Orange,87273
Asheville,NC,28801,Buncombe,87236
Nashua,NH,03060,Hillsborough,87137
Edmond,OK,73034,Oklahoma,87004
Whittier,CA,90602,Los Angeles,86635
Nampa,ID,83651,Canyon,86518
Deltona,FL,32738,Volusia,86290
Hawthorne,CA,90251,Los Angeles,86199
Duluth,MN,55806,St. Louis,86128
Carmel,IN,46033,Hamilton,85927
Suffolk,VA,23434,City of Suffolk,85728
Clifton,NJ,07015,Passaic,85390
Citrus Heights,CA,95611,Sacramento,85285
Livermore,CA,94550,Alameda,85156
Tracy,CA,95376,San Joaquin,84691
Alhambra,CA,91801,Los Angeles,84577
Kirkland,WA,98083,King,84430
Trenton,NJ,08619,Mercer,84349
Ogden,UT,84407,Weber,84249
Cicero,IL,60804,Cook,84103
Fishers,IN,46085,Hamilton,83891
Sugar Land,TX,77487,Fort Bend,83860
Danbury,CT,06810,Western Connecticut,83684
Meridian,ID,83642,Ada,83596
Indio,CA,92201,Riverside,83539
Concord,NC,28025,Cabarrus,83506
Menifee,CA,92584,Riverside,83447
Champaign,IL,61821,Champaign,83424
Buena Park,CA,90624,Orange,82882
Troy,MI,48099,Oakland,82821
O'Fallon,MO,63368,Saint Charles,82809
Bellingham,WA,98225,Whatcom,82631
Westland,MI,48186,Wayne,82578
Bloomington,IN,47406,Monroe,82575
Sioux City,IA,51101,Woodbury,82459
Warwick,RI,02887,Kent,81971
Hemet,CA,92543,Riverside,81750
Longview,TX,75607,Gregg,81443
Bend,OR,97708,Deschutes,81236
Lakewood,CA,90712,Los Angeles,81121
Merced,CA,95343,Merced,81102
Mission,TX,78573,Hidalgo,81050
Chino,CA,91708,San Bernardino,80988
Redwood City,CA,94061,San Mateo,80872
Edinburg,TX,78540,Hidalgo,80836
Cranston,RI,02920,Providence,80566
New Rochelle,NY,10801,Westchester,79446
Lake Forest,CA,92630,Orange,79312
Napa,CA,94581,Napa,79068
Hammond,IN,46323,Lake,78967
Fayetteville,AR,72703,Washington,78960
Bloomington,IL,61710,McLean,78902
Avondale,AZ,85323,Maricopa,78822
Somerville,MA,02143,Middlesex,78804
Palm Coast,FL,32164,Flagler,78740
Bryan,TX,77803,Brazos,78709
Gary,IN,46407,Lake,78450
Largo,FL,33778,Pinellas,78409
Tustin,CA,92781,Orange,78327
Racine,WI,53407,Racine,78199
Deerfield Beach,FL,33443,Broward,78041
Lynchburg,VA,24506,Lynchburg (city),78014
Mountain View,CA,94035,Santa Clara,77846
Medford,OR,97501,Jackson,77677
Lawrence,MA,01842,Essex,77657
Bellflower,CA,90707,Los Angeles,77593
Melbourne,FL,32901,Brevard,77508
St. Joseph,MO,64501,Buchanan,77147
Camden,NJ,08103,Camden,76903
St. George,UT,84770,Washington,76817
Kennewick,WA,99336,Benton,76762
Baldwin Park,CA,91706,Los Angeles,76635
Chino Hills,CA,91709,San Bernardino,76572
Alameda,CA,94501,Alameda,76419
Albany,GA,31701,Dougherty,76185
Arlington Heights,IL,60006,Cook,75994
Scranton,PA,18503,Lackawanna,75806
Evanston,IL,60204,Cook,75570
Kalamazoo,MI,49005,Kalamazoo,75548
Baytown,TX,77520,Harris,75418
Upland,CA,91785,San Bernardino,75413
Springdale,AR,72766,Washington,75229
Bethlehem,PA,18017,Northampton,75018
Schaumburg,IL,60159,Cook,74907
Mount Pleasant,SC,29464,Charleston,74885
Auburn,WA,98002,King,74860
Decatur,IL,62523,Macon,74710
San Ramon,CA,94583,Contra Costa,74513
Pleasanton,CA,94588,Alameda,74110
Wyoming,MI,49519,Kent,74100
Lake Charles,LA,70602,Calcasieu,74024
Bolingbrook,IL,60490,Will,73936
Pharr,TX,78577,Hidalgo,73790
Appleton,WI,54913,Outagamie,73596
Gastonia,NC,28055,Gaston,73209
Folsom,CA,95630,Sacramento,73098
Southfield,MI,48086,Oakland,73006
New Britain,CT,06050,Capitol Region,72939
Goodyear,AZ,85338,Maricopa,72864
Canton,OH,44703,Stark,72535
Warner Robins,GA,31088,Houston,72531
Union City,CA,94587,Alameda,72528
Perris,CA,92572,Riverside,72326
Manteca,CA,95336,San Joaquin,71948
Iowa City,IA,52246,Johnson,71591
Jonesboro,AR,72403,Craighead,71551
Wilmington,DE,19801,New Castle,71525
Lynwood,CA,90262,Los Angeles,71371
Loveland,CO,80539,Larimer,71334
Pawtucket,RI,02862,Providence,71172
Boynton Beach,FL,33436,Palm Beach,71097
Waukesha,WI,53188,Waukesha,71016
Gulfport,MS,39502,Harrison,71012
Apple Valley,CA,92308,San Bernardino,70924
Passaic,NJ,07055,Passaic,70868
Rapid City,SD,57709,Pennington,70812
Layton,UT,84041,Davis,70790
Lafayette,IN,47905,Tippecanoe,70373
Turlock,CA,95381,Stanislaus,70365
Muncie,IN,47306,Delaware,70316
Temple,TX,76502,Bell,70190
Missouri City,TX,77489,Fort Bend,70185
Redlands,CA,92375,San Bernardino,69999
Santa Fe,NM,87502,Santa Fe,69976
Milpitas,CA,95035,Santa Clara,69783
Palatine,IL,60078,Cook,69350
Missoula,MT,59801,Missoula,69122
Rock Hill,SC,29731,York,69103
Jacksonville,NC,28541,Onslow,69079
Franklin,TN,37065,Williamson,68886
Flagstaff,AZ,86002,Coconino,68667
Flower Mound,TX,75028,Denton,68609
Waterloo,IA,50702,Black Hawk,68366
Union City,NJ,07087,Hudson,68247
Mount Vernon,NY,10551,Westchester,68224
Fort Myers,FL,33907,Lee,68190
Dothan,AL,36302,Houston,68001
Rancho Cordova,CA,95670,Sacramento,67911
Redondo Beach,CA,90278,Los Angeles,67815
Jackson,TN,38302,Madison,67685
Pasco,WA,99301,Franklin,67599
