old_path,new_path
/resources/boonville-village-new-york-sales-tax,/sales-tax-calculator/boonville-new-york
/resources/bradford-pennsylvania-sales-tax,/sales-tax-calculator/bradford-pennsylvania
/resources/brea-california-sales-tax,/sales-tax-calculator/brea-california
/resources/broadview-heights-ohio-sales-tax,/sales-tax-calculator/broadview-heights-ohio
/resources/bromide-oklahoma-sales-tax,/sales-tax-calculator/bromide-oklahoma
/resources/brookeville-maryland-sales-tax,/sales-tax-calculator/brookeville-maryland
/resources/brownstown-village-illinois-sales-tax,/sales-tax-calculator/brownstown-illinois
/resources/buford-georgia-sales-tax,/sales-tax-calculator/buford-georgia
/resources/burbank-illinois-sales-tax,/sales-tax-calculator/burbank-illinois
/resources/burlingame-california-sales-tax,/sales-tax-calculator/burlingame-california
/resources/butler-indiana-sales-tax,/sales-tax-calculator/butler-indiana
/resources/cadillac-michigan-sales-tax,/sales-tax-calculator/cadillac-michigan
/resources/calhoun-kentucky-sales-tax,/sales-tax-calculator/calhoun-kentucky
/resources/camden-village-michigan-sales-tax,/sales-tax-calculator/camden-michigan
/resources/cameron-oklahoma-sales-tax,/sales-tax-calculator/cameron-oklahoma
/resources/cameron-texas-sales-tax,/sales-tax-calculator/cameron-texas
/resources/camp-douglas-wisconsin-sales-tax,/sales-tax-calculator/camp-douglas-wisconsin
/resources/canal-fulton-ohio-sales-tax,/sales-tax-calculator/canal-fulton-ohio
/resources/carbondale-illinois-sales-tax,/sales-tax-calculator/carbondale-illinois
/resources/carrier-oklahoma-sales-tax,/sales-tax-calculator/carrier-oklahoma
/resources/carrollton-alabama-sales-tax,/sales-tax-calculator/carrollton-alabama
/resources/carrollton-georgia-sales-tax,/sales-tax-calculator/carrollton-georgia
/resources/carrollton-missouri-sales-tax,/sales-tax-calculator/carrollton-missouri
/resources/cashton-wisconsin-sales-tax,/sales-tax-calculator/cashton-wisconsin
/resources/casnovia-village-michigan-sales-tax,/sales-tax-calculator/casnovia-michigan
/resources/castalia-village-ohio-sales-tax,/sales-tax-calculator/castalia-ohio
/resources/castle-oklahoma-sales-tax,/sales-tax-calculator/castle-oklahoma
/resources/cedar-park-texas-sales-tax,/sales-tax-calculator/cedar-park-texas
/resources/central-city-kentucky-sales-tax,/sales-tax-calculator/central-city-kentucky
/resources/centuria-wisconsin-sales-tax,/sales-tax-calculator/centuria-wisconsin
/resources/cerritos-california-sales-tax,/sales-tax-calculator/cerritos-california
/resources/challis-idaho-sales-tax,/sales-tax-calculator/challis-idaho
/resources/chambersburg-borough-pennsylvania-sales-tax,/sales-tax-calculator/chambersburg-pennsylvania
/resources/chapel-hill-north-carolina-sales-tax,/sales-tax-calculator/chapel-hill-north-carolina
